context,target,label
P1: 친박과 비박으로 나누어서 유권자들에 민생과는 관계 없는 싸움만 계속한다면 괴물이 되어 버린 소위 국회 선진화법을 개정할 수 있는 백팔십 석은커녕 과반수에도 미달할 수 있습니다. 나는 박근혜 정부에 성공을 지원하고 국민의 신뢰를 받는 여당이 되기를 바란다. 결단을 내려야 할 시간이 얼마 남지 않았음을 깨달아야 했다.,국민의 신뢰를 받는 여당이 될 것이다.,1
허시파피 베이직 오리지날은 오래 신어도 질리지 않는 꾸준한 멋이 숨어있다. 심플함 속에 숨어있는 멋스러움으로 웬만한 코디는 무난히 소화해낸다. 나는 허시파피 앵클부츠가 모든 여성을 위한 부츠라고 주장했다.,허시파피 앵클부츠는 모든 여성을 위한 부츠이다.,1
하지만 그런 으름장이 한ㆍ미 양국 현 정부에 통할 것으로 기대하는 것은 참으로 어리석었다.,그런 으름장이 한ㆍ미 양국 현 정부에 통할 것이다.,1
P2: 예. 영국은 뭐~ 스코틀랜드 또 북아일랜드 웨일즈 또 어~ 그렇게 이제 연방 체계로 인제 되어 있는데 \nP1: 그렇죠. 예. \nP2: 그중에 인제 스코틀랜드와 북아일랜드는 사실 이유에서 빠져 나가기를 원했다.,스코틀랜드와 북아일랜드는 EU에서 빠져나갈 것이다.,1
"어제와 오늘이 똑같을 때, 인간은 생각하지 않는다. 기대한 일상이 무너지고 미지의 일이 벌어지려 할 때, 사람들은 비로소 생각한다. 청년들이 '당연히' 아이를 낳을 것으로 기대했다.",청년들은 '당연히' 아이를 낳을 것이다.,1
하지만 남을 모방해 같은 효과를 얻을 수 있다고 기대했다. ,남을 모방해 같은 효과를 얻을 수 있다.,1
제주가 대표적인 사례다. 지금은 제주에 경매하러 갈 때가 아니라 놀러갈 때다. 나는 중국인 관광객이 늘고 있어 땅값이 계속 오를 것으로 착각했다.,제주 땅값은 계속 오를 것이다.,1
"문제는 어떻게 그를 한국이 원하는 방향으로 끌어오느냐다. 트럼프는 오바마와 피부색부터 출신 배경, 정치적 기질, 소속 정당 모든 게 다르다. 그런 그가 오바마가 펼쳐온 한반도 정책을 그대로 따를 것이라고 믿었다.",트럼프는 오바마가 펼쳐온 한반도 정책을 그대로 따를 것이다.,1
그러나 일부 달력의 경우 미리 제작된 탓에 10월9일이 가만 글자로 표기돼 있다. 이 때문에 쉬지 않는 것으로 착각했다.,10월 9일에 쉬지 않는다.,1
이런 추세라면 올해 새로 만들어지는 법인은 작년(6만5110개)보다 20%가량 늘어날 것으로 보인다. 지금처럼 경기 침체의 골이 깊은데도 창업이 사상 최대 수준에 이르렀다니 놀랍다. 하지만 이 통계만 보고 창업 열기가 우리 경제의 활력을 되살려줄 것으로 기대했다.,창업 열기는 우리 경제의 활력을 되살려 줄 것이다.,1
한반도와 같이 좁은 영토에서 남북은 물론 미일과 중국의 참전이 예상되는 전쟁은 공멸이다. 전면전이며 세계대전일 수밖에 없다. 혹시 강고한 한미동맹이 있는 한 미국이 우리를 도와줄 것이라고 믿는다. 나는 너무 순진하다 못해 어리석었다.,강고한 한미동맹이 있는 한 미국이 우리를 도와줄 것이다.,1
"업계에 따르면 한국타이어는 2015년 말 국토교통부로부터 현대차 제네시스에 장착된 ‘벤투스 S1 노블2’의 측면 부위에서 미세한 크랙(갈라짐 현상)이 발견돼 시정을 요하는 리콜 명령을 받았다. 하지만 한국타이어는 홈페이지 등을 통해 리콜을 알렸을 뿐, 전화나 우편물 발송 등을 통한 적극적인 안내는 없었다. 내부적으로는 리콜사태가 일단락 됐다.",한국타이어의 리콜 사태는 일단락되었다.,1
"함부르크 뮤지컬은 스테이지 엔터테인먼트라는 기업의 성취, 그 자체이기 때문에 이 회사의 회계가 산업 전체를 대변한다고 봐도 크게 틀리지 않다. 이 회사는 지난해 독일 5개 도시에 소유한 11개 극장에서 연 3억400만 유로(4289억 원)의 매출을 올렸는데 이중 함부르크 뮤지컬이 차지하는 비율이 절반 가까이 된다. 그러나 이 회사가 함부르크 문화산업을 독식함으로써 작은 공연을 죽인다고 여겼다.",스테이지 엔터테인먼트는 함부르크 문화산업을 독식함으로써 작은 공연을 죽인다.,1
문제는 남북이 이 문제를 어떻게 해결하느냐이다. 정부도 북한이 천안함 사건에 대해 명시적으로 책임을 시인하거나 사과할 것으로 기대했다.,북한은 천안함 사건에 대해 명시적으로 책임을 시인하거나 사과할 것이다.,1
사람이 살아가기 위해 꼭 필요한 게 의·식·주입니다. 그 중 식생활은 건강을 지켜주는 중요한 행복 요소입니다. 균형 잡힌 건강한 식생활로 행복을 느끼는 일이 사치라고 여긴다. 벌써 행복 한 줌을 놓치는 거였다.,균형 잡힌 건강한 식생활로 행복을 느끼는 일은 사치이다.,1
"초등 고학년이 되면 제일 먼저 그만두는 학원 중 하나가 피아노학원이다. 김씨는 ""음악을 '배우는 것'이라는 고정관념부터 탈피하라""고 단언했다. 배우는 것, 즉 또 하나의 '공부'라고 여겼다. 부모의 부담이 너무 커지기 때문어었다.","음악은 배우는 것, 즉 또 하나의 공부이다.",1
