idx,eco,context.target,prompt,entailment,Subject_Equal,Inner_Tense,Inner_Person,Mat_Tense,Mat_Person
304038,없음,밀월 아~ 이~ 꿀 같이 달콤한 달이라는 의미에 단어인데요. 이~ 친밀한 관계를 비유적으로 할 때 쓰이는 말인데 미국과 일본이 요즘 뭐 이렇다고 합니다. 태평양을 건너온 트럼프 대통령 방일 일정 나흘 할애하고 있는데 지난 사월 워싱턴 속 빈 회담과 비교되는 그런 대목인데 함께 보죠.,미국과 일본은 요즘 친밀한 관계이다,entailment,n,현재,3,현재,3
304048,없음,가속도가 붙었어요. 어어 가수는 솔직히 뭐 자기가 그 부른 노래 그 간판 따라간다고 하는데 청하 씨는 진짜 정반대예요.,가수는 자기가 부른 노래 간판 따라간다,neutral,n,현재,3,현재,3
303104,없음,그~ 소통과 협업이 상당히 중요한데 지금 우리 학교 교육에서 소통과 협업이 잘 교육되고 있는지 이건 좀 우리가 좀 생각을 해봐 필요가 있는 것 같아요. 아직까지도 우리 학교 교육에서는 경쟁에서 이기기 살아남기가 협업이나 소통보다 더 강조되는 게 아닌가 이런 생각이 좀 드는데 우리 최채성 선생님 어떻게 좀 생각하십니까?,지금 우리 학교 교육에서 소통과 협업이 잘 교육되고 있는지 우리가 생각을 해볼 필요가 있다,entailment,n,현재,3,현재,3
107069,없음,"이날 일손봉사에는 괴산여성단체협의회(회장 조보현) 회원 10여 명을 비롯해 이차영 괴산군수, 윤남진 도의원, 심재정 충북도청 일자리정책과장, 괴산군 경제과 직원들이 함께 구슬땀을 흘렸다. ㈜우당탕 김여경 대표는 ""설 대목을 맞아 주문량이 몰려 일손이 많이 모자랐는데, 생산적 일손봉사 인력을 지원받아 매우 기쁘다""고 말했다. 생산적 일손봉사는 충북도가 2016년 전국 최초로 시작해 역점 추진하고 있는 사업이다.",김여경 대표는 생산적 일손봉사 인력을 지원받아 매우 기뻤다,entailment,y,현재,3,과거,3
401057,없음,P4: 우리로써는 뭐 위기 관리를 해야 될 대상이 많이 늘어난 거예요. P4: 특히 미국도 중요한 위기 관리 대상에 넣어서 여러 가지 상황을 좀 면밀히 잘 볼 필요가 있겠다 하는 생각이 듭니다. P1: 아~ 너무 압축해주시네요. P4: 아니. 근데 P1: 지금 생각에 P2: 아니. 시간을 줄이라고 하셔가지고,우리는 미국을 중요한 위기 관리 대상에 넣어서 여러 가지 상황을 면밀히 볼 필요가 있다,entailment,n,현재,1,현재,4
401055,없음,"은영: 나 열 안나요, 그냥 나쁜 꿈을 꿨어요. 형우: ............ 은영: 너무 아픈 꿈인데..... 깨워줘서 고마워요. 형우: 고맙습니다. 은영: 형우 씨 이제 나한테 화 풀렸나 보다.. 그쵸? 형우: 형우 씨 화 안 났습니다.",형우 씨가 나한테 이제 화가 풀렸다,entailment,n,과거,3,현재,4
303067,없음,당시 협력 업체 직원들은 이산화탄소 누출과는 전혀 관계 없는 그런 작업을 하고 있었기 때문에 그~ -보- 복도에서 대기하고 있다가 날벼락을 맞았다라는 그런 의혹까지 제기 되고 있습니다. 아~ 삼성 쪽 책임이 일단 굉장히 큰 것으로 파악이 되고 있구요. 물론 조사를 더 해봐야 알겠습니다만 소방 설비의 근본적인 결함이 있었을 가능성도 있다. ,이산화탄소 누출에 삼성 쪽 책임이 일단 굉장히 크다,entailment,n,현재,3,현재,1
106009,없음,"경찰 수사도 마무리됐다. `강원지방경찰청 펜션 참사 수사본부'는 보일러 시공업체 대표 A(45)씨, 펜션 운영자 B(44)씨 등 2명을 구속기소 의견으로 검찰에 송치했다고 18일 밝혔다. 또 법원에서 구속 영장이 기각된 한국가스안전공사 가스안전검사원 C(49)씨 등 7명은 불구속기소 의견으로 송치했다.","보일러 시공업체 대표 A(45)씨, 펜션 운영자 B(44)씨 등 2명은 구속기소 의견으로 검찰에 송치되었다",entailment,n,과거,3,과거,3
301015,없음,또 이 길이잖아요. 그~ 이제 강릉 지방에는 또 이런 얘기도 있다고 그래요. 평생 대관령 한 번 넘지 않고 사는 것이 가장 행복하다. ,강릉 지방에는 평생 대관령 한 번 넘지 않고 사는 것이 가장 행복하다는 얘기도 있다,entailment,n,현재,3,현재,3
108059,없음,"특히 제주지역 물류산업에 종사하고 있는 기업들의 적극적인 협조도 필요해 공감대 형성이 과제로 제시됐다. 또 물류에 지식이 없는 일반인들도 보고 이해하기 쉬운 물류관련 콘텐츠를 확장해 서비스를 제공해야 한다고 제언했다. 그러기 위해서는 다양한 그래프를 활용하고 시각화하는 디자인은 물론, 물동량 관련 정보 서비스 등의 필요성을 역설했다.",물류에 지식이 없는 일반인들도 보고 이해하기 쉬운 물류관련 콘텐츠를 확장해 서비스를 제공해야 한다,entailment,n,현재,3,과거,3
106091,없음,무역분쟁 장기화와 세계 철강 수요의 절반가량을 차지하는 건설경기 둔화는 철강 업황 회복을 늦출 위험 요인으로 꼽힌다. 다만 전문가들은 국내 철강업체의 기초 체력이 좋아져 예전처럼 실적이 곤두박질칠 가능성은 거의 없다고 입을 모은다. 금융정보업체 에프앤가이드에 따르면 포스코의 올해 예상 영업이익은 5조2247억원이다.,국내 철강업체의 실적이 곤두박질칠 것이다,contradiction,n,미래,3,현재,3
301043,없음,그렇기 때문에 경우도 마찬가지라고 생각됩니다. 여태까지는 관행적으로 비과세로 신고를 해왔으나 이것은 사실은 위법한 것이고 이것을 올바르게 바로잡기 위한 조치이기 때문에 그런 것은 매우 정상적인 조치이고 그렇기 때문에 별도로 근로자의 동의를 받아야 하는 항목이라고 보기는 어려울 것이다. 저는 그렇게 생각이 되네요.,관행적으로 비과세로 신고해 온 것을 바로잡기 위한 조치는 별도로 근로자의 동의를 받아야 하는 항목이다,contradiction,n,현재,3,현재,1
303090,없음,잠시 뒤에 전해드리고요. 자 이천십오년 연인 사이라고 밝혔던 홍상수 감독과 배우 김민희 씨가 최근 들어 경기도 하남에 있는 한 마트에서 자주 목격이 되고 있다고 합니다. 어떻게 된 일인지 현장으로 가보시죠.,홍상수 감독과 배우 김민희 씨가 최근 들어 경기도 하남에 있는 한 마트에서 자주 목격이 되고 있다,entailment,n,현재,3,현재,3
305038,없음,이중섭 화백이 밝힌 바가 있습니다. 그리고 그냥 소도 그냥 소가 아니었죠.굉장히 격렬한 터치로 그렸는데 시대에 아픔은 물론이고 개인에 고독 또 가족에 대한 그리움이라던지 에~ 이런 것도 느낄 수가 있고 또 어떤 소는 좀 흰 소를 많이 그리기도 했고 형체를 알아볼 수 없을 정도로 엉켜있는 그런 소들도 나와 있는데 이 소 안에 보면은 고통과 절망에서부터 희망과 의지까지 또 나아가서는 해학까지 포함되어 있었지 않나 라고 생각이 들고 특히 그~ 소에 그~ 터치 자유 분방한 선묘 여기서는 이제 격렬한 동세를 표현했다 라고 볼 수 있겠고요.,"이중섭 화백의 그림 소 안에는 고통과 절망에서부터 희망과 의지, 나아가 해학까지 포함되어 있었다",entailment,n,과거,3,현재,1
304003,없음,먼저 아까 화성 뉴스랑 조금 연결될 거 같은데요. 좋은 소식 하나는 이천삼십년 생에 기대수명이 여자 구십 점 팔 세 남자 팔십사 점 일 세로 우리나라가 세계 일위를 했다는 소식이 있었습니다. 그래서 이천삼십년에 태어난 여자 아이들은 평균적으로 구십 점 팔세를 살 수 있고 이천삼십년 육십세가 되는 한국 여성들은 그 이후에도 이십 칠 점 몇 달을 더 살 수 있다고 해요.,"이천삼십년 생에 기대수명이 여자 구십 점 팔 세, 남자 팔십사 점 일 세로 우리나라가 세계 일위를 했다",entailment,n,과거,3,과거,3
401041,없음,"P3: 한대련에 행사를 고려대 학내에 적극적으로 유치하는 등 P2: 예. P3: 한대련 활동을 매우 많이 했습니다. P1,P2: 예. P3: 그러다 보니까 총학생회가 학생들을 위한 활동을 -하지- -않- 하는 게 아니라 P2: 네. P3: 그~ 외부 단체의 일을 더 많이 한다라는 비판이 굉장히 많았구요. P1: 아~ P2: 정치 행사를 많이 한다. 이런 얘깁니까? 그러면 P3: 예. 정치행사도 많이 했구요.",총학생회가 외부 단체의 일을 더 많이 한다,entailment,n,현재,3,과거,3
303002,없음,짠맛에 대명사라 할 정도로 짜디짠 된장이지만 오백 년 전에 만들었던 장은 염도가 어떻게 될까? 일정한 양을 물에 희석해서 한번 염도를 측정해 봤더니요. 평균 무려 십 점 이오 퍼센트로 일반 된장보다 염도가 낮은 것으로 확인이 됐습니다. 이렇게 오백 년 전통장 맛은 어떨까요?,오백 년 전에 만들었던 장은 일반 된장보다 염도가 낮다,entailment,n,현재,3,과거,3
304042,없음,그리고 지금까지는 지금 아까 청취자분들께서 말씀하시듯이 어떻게 보면 경찰과 검찰도 -엇- 그~ 자기들의 -엇- 뭐 입신양명이든 무엇을 위해서든 자기가 맡은 사건이 이렇게 처리하는 것이 정의롭지 않다라는 생각을 하더라도 그것을 그냥 잠깐 눈 감고 은폐하면 잠깐 넘어가면 된다라는 생각을 하고 계실 거 가태요.근데 그것을 절대 이런 진상조사를 통해서 당신이 조사했던 내용이 이후에 미래에 누군가를 통해서 다시 -보여- 보게 될 것이고 당신의 과오는 반드시 짚어질 것이다라는 것을 이 저는 알게 하는 것이 굉장히 중요하다는 생각이 들구요. 현재 이제 개개의 사건별로 공소시효를 좀 다르게 봐야 된다라는 법안이라던지 이런 것들을 -제안- 제안하시는 분들이 계신데 저는 그게 굉장히 쪼끔 실효성은 낮다라는 생각이 드는데,경찰과 검찰의 과오는 반드시 짚어질 것이다,entailment,n,미래,3,현재,3
104015,없음,상담자 수가 가장 적은 12월(35명)에 비해 2배 이상 높다. 이 같은 결과는 해를 마무리하는 시점보다 출발점에서 새 희망의 방편으로 귀농귀촌을 선택한다는 것을 시사한다.,해를 마무리하는 시점보다 출발점에서 새 희망의 방편으로 귀농귀촌을 선택한다,entailment,n,현재,3,현재,3
303111,없음,근데 그게 아니라 지금 문제가 되는 건 이 지인들에 고소 내용은 내가 슈 씨 카지노에 만나서 카지노에서 돈이 필요하다고 해서 돈을 빌려줬는데  처음부터 나한테 돈을 갚을 의사도 없었던 것 같고 그리고 변제할 능력도 안 됐던 것 같다. 그러니까   애시당초 돈을 안 갚으려고 하면서 돈을 빌렸으니 이건 사기라고 고소를 한 거고 그래서 그 부분에 대해서 조사를 하는 건데 이제 이게 결국 쟁점입니다.,슈 씨가 지인들에게 돈을 빌린 것은 사기다,neutral,n,현재,3,과거,3
202092,없음,신고를 받고 출동한 지구대 경찰은 10대 후반에서 20대 초반 남녀가 함께 생활하는 원룸에서 온몸이 상처투성이인 20대 지적장애인 A(23)씨를 발견했다. 경찰은 주변 사람들의 눈치를 심하게 보던 A씨가 지적장애인이라는 것을 금방 알아챘다. 가족의 품에 다시 안긴 피해자 A씨의 입에서는 충격적인 사건의 전말이 쏟아져 나왔다.,주변 사람들의 눈치를 심하게 보던 A씨는 지적장애인이었다,entailment,n,현재,3,과거,3
304055,없음,또 동화작가 이현 씨의 책 동화 쓰는 법이라는 책도 올해 나와서 지금까지 꾸준히 판매가 되고 있는데요. 특히 동화 같은 경우는 어린이라는 독자를 전제하기 때문에 내가 하고 싶은 이야기 뿐 아니라 너에게 전하는 이야기라는 전제가 중요하다고 전 얘기를 하거든요. 특히 가끔 보면 어린이 하고 유독 이야기를 잘 나누는 사람들 있잖아요.,동화 같은 경우는 '너에게 전하는 이야기'라는 전제가 중요하다,entailment,n,현재,3,현재,1
105114,없음,"지은이는 이 시집의 첫 장 '시인의 말'에서 ""지금까지 손에 밴 내 시의 관습을 깨뜨리고 싶었다. 뼈를 바꾸고 태를 벗고 싶었다. 인습을 벗어나 새 삶의 얼굴을 보고자 했다""고 고백하고 있다.",지은이는 인습을 벗어나 새 삶의 얼굴을 보고자 했다,entailment,n,과거,3,현재,3
107004,없음,"행정기관 전산망에는 쌍둥이 모자가 영암 모 아파트에 거주한다고 나왔으나, 현장 조사를 해보니 애초부터 이 곳에 살지 않았다는 주변인들의 진술을 얻는 데 그친 것이다. 전남도교육청은 쌍둥이 친모가 아들들을 데리고 출국했을 가능성을 고려해 출입국사무소에 문의했으나 출국기록은 없었다. 지난 17일 교육당국 의뢰로 경찰 수사가 개시되면서 상황은 예사롭지 않게 흘러갔다. ",쌍둥이 친모가 아들들을 데리고 출국했다,contradiction,n,과거,3,과거,3
301008,없음,여기에 고기만 있었더라면 어트게 보면 쪼금 더 물릴 수가 있고 쪼금 더 퍽퍽할 수 있는 그런 느낌들을 이 취나물이 향기와 그 맛으로 함께 포장을 또 해주니까 먹는 데 있어서 불편함이 없는데요. 네. 음~ 언제 씹었냐는 듯이 입안이 개운해지는 거 같은데요,취나물은 고기와 함께 먹을 때 불편하다,contradiction,n,현재,3,현재,3
401052,없음,P2: 사실 그 김여정 부부장이 그 북한에 그 귀환한 뒤에 그 외신들의 보도를 보면은 김여정이 그 김정은의 그 외교특사로서의 그 임무를 그 완벽하게 소화해냈다. P2: 이제 이런 평가들을 좀 내놓았는데요. P1: 좋은 평가를 냈군요. P2: 네. 뉴욕타임스는 이 김정은의 그 여동생이 그 매력을 발휘해 마이크 펜스 미 부통령의 스포트라이트를 가로챘다 이렇게 얘기를 했고요. P1: 네. P2: 미 씨엔엔은 그 단 하루 만에 사람들의 마음을 훔쳤다.,김정은의 여동생이 매력을 발휘해 마이크 펜스 미 부통령의 스포트라이트를 가로챘다,neutral,n,과거,3,과거,3
301063,없음,그 이게 지금 국회 내에서의 이 야당은 만약에 이게 사실이면 어 내각이 총사퇴해야 된다고 아주 강하게 주장은 하지만 국민들이 보고 있는 여론과는 좀 온도 차이가 큰 것 같습니다. 아직도 경제를 기대하는 일본인들의 의식 속에서는 이 아베 정권의 대안이 없다고 생각을 하기 때문에 이게 국회의 이런 여론이 일반 국민들의 반아베 정서로 확대될지는 좀 의문이 있지만 이게 만약 여론이 점점 -악해- 악화되었을 때는 그래도 예전과는 좀 다르게 아베 수상 개인에 대해서는 좀 치명적인 타격이 될 거는 같아요.,아베 정권의 대안이 없다고 생각하는 국회의 여론이 일반 국민들의 반아베 정서로 확대될 것이다,neutral,n,미래,3,현재,3
