idx	source	genre	prev	current	next	pred	comp	ecomark	eco	context+target	question	prompt	relation	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	a13	a14	a15	a16	a17	a18	a19	a20	a21	95% CI lower bound	95% CI upper bound	mean	sd	entailment	embagr	embtns	embtnsm	general_fact	embper	mtrtns	mtrtnsm	mtrper
304038	SBRW1900015281.1	구어	P1: 예. P2: 앞서 그~ 왜 양정철 원장이 이 만남을 사적 만남이라고 주장을 했지 않습니까? P1: 그랬죠. P2: 아~ 한국당에 그~ 민경욱 대변인은요. 이~ 사적 만남이면 왜 서훈 원장은 관용 차량을 쓰고 또 국정원 직원을 대동한 것이냐면서 P1: 아 P2: 직권 남용 공무원 법 위반 업무 -바- 방해 혐의 등등 아~ 이러한 여러 가지 혐의들이 줄줄이 기다리고 있다 이렇게 또 경고를 하기도 했습니다. P1: 아 그랬군요. P1: 알겠습니다. P1: 다음 주제로 가보도록 하겠습니다. P1: 밀월 아~ 이~ 꿀 같이 달콤한 달이라는 의미에 단어인데요.	P1: 이~ 친밀한 관계를 비유적으로 할 때 쓰이는 말인데 미국과 일본이 요즘 뭐 이렇다고 합니다.	P1: 태평양을 건너온 트럼프 대통령 방일 일정 나흘 할애하고 있는데 지난 사월 워싱턴 속 빈 회담과 비교되는 그런 대목인데 함께 보죠. P1: 아니 뭐 미국하고 일본하고 뭐 잘 지내는 게 뭐 우리하고 뭔 상관이냐 이러실 수 있겠습니다마는 지금 동북아 정세를 보면 그게 아닙니다. P1: 미국하고 일본 그리고 중국하고 북한 그런데 대한민국만 지금 쏙 빠지고 있다 이런 또 느낌이 들긴 하거든요. P4: 사실 뭐 미일 정상이 골프 치고 이러는 게 단순히 뭐 취미를 공유하고 뭐 맛있는 식사를 하기 위해서 만나는 건 아니겠죠. P1: 아 그럼요. 예. P4: 이게 다 국익을 위한 전략일 텐데 나흘 방일 일정 동안 거의 하루 종일 지금 붙어있는 두 정상이거든요. P1: 예. P4: 이~ 정상 회담에서는요. P4: 북핵 문제를 포함한 다양한 한반도 사안까지 논의를 했습니다. P4: 아베 총리는 이~ 북한 정세를 포함해서 충분한 시간을 들여 면밀한 조정을 했다 이러면서 북한 문제에서 미국과 일본에 입장은 완전히 일치해 있다 이렇게 밝히기도 했습니다.	하다	다고_		없음	밀월 아~ 이~ 꿀 같이 달콤한 달이라는 의미에 단어인데요. 이~ 친밀한 관계를 비유적으로 할 때 쓰이는 말인데 미국과 일본이 요즘 뭐 이렇다고 합니다. 태평양을 건너온 트럼프 대통령 방일 일정 나흘 할애하고 있는데 지난 사월 워싱턴 속 빈 회담과 비교되는 그런 대목인데 함께 보죠.	다음 문장에 대해 위 보기의 필자(화자)는 어느 정도로 확신한다고 생각하십니까?	미국과 일본은 요즘 친밀한 관계이다	함의	7	7	6	6	5	6	6	4	6	5	6	7	7	7	5	7	4	6	6	4		5.39420 	6.30580 	5.85	1.039989878	entailment	n	현재	없음	n	3	현재	없음	3
304048	SBRW1900007091.1	구어	P3: 무대에서 보여 주는 장악력도 내공이 있는 편이고 또 선미와 더불어서 좀 솔로 여 가수로 더 성장하지 않을까 기대가 되는 가수입니다. P1: 으흠 P2: 으음 P3: 네. P1: ((사실)) 제가 김지현 기자도 이야기를 했지만 딱 힘이 실렸어요. 지금 P3: 맞아요. P1: 가속도가 붙었어요. P2: 맞아요. 네. P1: 어어 P2: 네. 	P1: 가수는 솔직히 뭐 자기가 그 부른 노래 그 간판 따라간다고 하는데 	P2: 아아 P1: 청하 씨는 진짜 정반대예요. P2: 오 P1: 안 그래요? 그쵸? P3: 네. P1: 예. P3: 어~ 청하는요. P3: 제가 보기에 그룹이 아니라 솔로로 나왔던 게 정말 신의 한 수가 되었던 것 같아요. P1: 으음 P2: 그런 것 같아요. 	하다	다고_		없음	가속도가 붙었어요. 어어 가수는 솔직히 뭐 자기가 그 부른 노래 그 간판 따라간다고 하는데 청하 씨는 진짜 정반대예요.	다음 문장에 대해 위 보기의 필자(화자)는 어느 정도로 확신한다고 생각하십니까?	가수는 자기가 부른 노래 간판 따라간다	중립	4	5	4	2	6	4	6	4	2	4	5	2	1	5	4	5	1	2	5	6		3.13513 	4.56487 	3.85	1.631111988	neutral	n	현재	은/는	y	3	현재	없음	3
303104	SBRW1900012554.1	구어	P1: 음 P6: 보시는 것처럼 어~ 뭐 문제 해결 학습 동기 인간 관계 소통이라는 여러 가지 영역에서 학생들이 성장이 일어났는데 그 핵심에는 사실 협업이라는 게 있습니다. P1: 음 P6: 그래서 학생들이 가치 인제 협업하면서 이 협업 안에는 이제 논의하는 내용 의견이 다를 때 조정하는 P1: 음 P6: 그런 역량 이런 것도 다 포함되어 있는데요. P6: 이런 협업을 중심으로 문제 해결 학습 동기 소통 인간 관계 이런 영향를이 고르게 어~ 개발될 수 있는 거기 때문에 개별적인 것이 아니라 서로 서로 영향을 주고 받는 그니까 어느 하나를 독립적으로 생각하기 좀 어려운 그런 역량이 아닌가 생각이 됩니다. P3: 음 P1: 그~ 소통과 협업이 상당히 중요한데 P6: 그러쵸. 	P1: 지금 우리 학교 교육에서 소통과 협업이 잘 교육되고 있는지 이건 좀 우리가 좀 생각을 해봐 필요가 있는 것 같아요. 아직까지도 우리 학교 교육에서는 경쟁에서 이기기 	P2: 그렇죠. P1: 살아남기가 협업이나 소통보다 더 강조되는 게 아닌가 이런 생각이 좀 드는데 우리 최채성 선생님 어떻게 좀 생각하십니까? P2: 그니까 저 때도 그랬지만 지금도 마찬가지 아닌가란 생각이 드는데 P1: 음 P2: 우리 학생들에 소통과 협업에 대상은 P1: 음 P2: 사람이 아니라 문제집이다. all: {laughing} P2: 예. P1: 아~ 그러네요. 	같다	ㄴ_것_		없음	그~ 소통과 협업이 상당히 중요한데 지금 우리 학교 교육에서 소통과 협업이 잘 교육되고 있는지 이건 좀 우리가 좀 생각을 해봐 필요가 있는 것 같아요. 아직까지도 우리 학교 교육에서는 경쟁에서 이기기 살아남기가 협업이나 소통보다 더 강조되는 게 아닌가 이런 생각이 좀 드는데 우리 최채성 선생님 어떻게 좀 생각하십니까?	다음 문장에 대해 위 보기의 필자(화자)는 어느 정도로 확신한다고 생각하십니까?	지금 우리 학교 교육에서 소통과 협업이 잘 교육되고 있는지 우리가 생각을 해볼 필요가 있다	함의	7	7	5	7	5	6	7	7	7	6	6	7	7	7	7	6	7	6	6	6		6.14920 	6.75080 	6.45	0.686332741	entailment	n	현재	없음	n	3	현재	없음	3
107069	NLRW2000000011.488	신문	도는 지난 16일 생산적 일손봉사 참여자들의 만일의 안전사고에 대비, 농협과 상해보험 계약을 체결하고 생산적 일손봉사 사업에 본격 나섰다. 26일 충북도에 따르면 이 지사는 이날 휴일도 반납하고 설 대목을 맞아 일손 부족으로 생산에 어려움을 겪고 있는 ㈜우당탕을 방문, 탕류 제품 박스 포장 작업 및 환경 정비 등 일손을 도왔다. 이날 일손봉사에는 괴산여성단체협의회(회장 조보현) 회원 10여 명을 비롯해 이차영 괴산군수, 윤남진 도의원, 심재정 충북도청 일자리정책과장, 괴산군 경제과 직원들이 함께 구슬땀을 흘렸다.	"㈜우당탕 김여경 대표는 ""설 대목을 맞아 주문량이 몰려 일손이 많이 모자랐는데, 생산적 일손봉사 인력을 지원받아 매우 기쁘다""고 말했다."	생산적 일손봉사는 충북도가 2016년 전국 최초로 시작해 역점 추진하고 있는 사업이다. 지난해 2877개소 농가와 중소기업에 11만 2492명의 일손을 지원했다. 도는 올해는 목표 인원을 13만 명으로 늘려 농가와 기업의 부족한 일손을 적극 지원해 나갈 계획이다.	말하다	다고_		없음	"이날 일손봉사에는 괴산여성단체협의회(회장 조보현) 회원 10여 명을 비롯해 이차영 괴산군수, 윤남진 도의원, 심재정 충북도청 일자리정책과장, 괴산군 경제과 직원들이 함께 구슬땀을 흘렸다. ㈜우당탕 김여경 대표는 ""설 대목을 맞아 주문량이 몰려 일손이 많이 모자랐는데, 생산적 일손봉사 인력을 지원받아 매우 기쁘다""고 말했다. 생산적 일손봉사는 충북도가 2016년 전국 최초로 시작해 역점 추진하고 있는 사업이다."	다음 문장에 대해 위 보기의 필자(화자)는 어느 정도로 확신한다고 생각하십니까?	김여경 대표는 생산적 일손봉사 인력을 지원받아 매우 기뻤다	함의	7	7	7	7	4	7	7	6	7	7	7	7	6	5	6	7	6	7	7	7		6.18817 	6.91183 	6.55	0.825577947	entailment	y	현재	없음	n	3	과거	었/았	3
401057	SBRW1900005227.1	대화	P3: 저는 어차피 어~ 미국에 중간 선거 전에는 북이 일정한 부분 핵에 대한 어떤 카드를 내놓을 거라고 봐요. P1: 아~ 결과는 나올 거다? P3: -북- 예. 북이 여태까지 했던 거 보면은 상대 당에 어떤 정권과에 거래를 하지 나라를 거래는 안 하는데 다만 현재 특이한 현상은 미국이 한국을 중간 어떤 매개자로 생각하지 않는다는 거예요. 지금 이제부터는 P1: 예. 결과는 나올 건데 오히려 미국과 협상인데 결과가 중간 선거 ((전)) 십일월 이전에 나오긴 할 거다라는 얘기네요. 최민희 전 의원 P2: 예. 저는 공감하고요. P2: 무엇보다 문재인 대통령께서 상황 관리를 잘 해나가실 거라고 믿습니다. P1: 상황 관리를 잘 해나갈 거라 믿는다. P1: ((그거)) 마무리 돼가니까 너무들 압축적으로 말씀하시네요. all: {laughing} P4: 우리로써는 뭐 위기 관리를 해야 될 대상이 많이 늘어난 거예요. 	P4: 특히 미국도 중요한 위기 관리 대상에 넣어서 여러 가지 상황을 좀 면밀히 잘 볼 필요가 있겠다 하는 생각이 듭니다.	P1: 아~ 너무 압축해주시네요. P4: 아니. 근데 P1: 지금 생각에 P2: 아니. 시간을 줄이라고 하셔가지고 unknown: 예. P1: 예. P3: 그러니까 P2: 할 말은 많지만요. P3: 아~ 지금 봐봐요. P3: 그~ 최근에 나타나는 현상이 한국이 지금 미국이 생각하는 속도를 너무 앞서가고 있잖아요.그까 미국이 	들다	ㄴ_생각		없음	P4: 우리로써는 뭐 위기 관리를 해야 될 대상이 많이 늘어난 거예요. P4: 특히 미국도 중요한 위기 관리 대상에 넣어서 여러 가지 상황을 좀 면밀히 잘 볼 필요가 있겠다 하는 생각이 듭니다. P1: 아~ 너무 압축해주시네요. P4: 아니. 근데 P1: 지금 생각에 P2: 아니. 시간을 줄이라고 하셔가지고	다음 [문장]의 내용에 대해 위 대화의 P4는 어느 정도로 확신한다고 생각하십니까?	우리는 미국을 중요한 위기 관리 대상에 넣어서 여러 가지 상황을 면밀히 볼 필요가 있다	함의	7	6	7	4	5	7	7	7	7	6	5	7	6	6	7	6	6	6	6	6		5.83470 	6.56530 	6.2	0.833508753	entailment	n	현재	은/는	n	1	현재	없음	알수없음
401055	SERW1900069031.1	대화	은영: (형우 보는) 그 아이...... 당신이랑 많이 닮았어요. 은영: 아가... 아가.... 은영: 형우 씨..... 형우: (슬프다) 피나면 밴드를 붙여야 합니다, 열나면 물수건을 해야 합니다. 은영: (형우 손에 쥔 수건보다) 이 물수건으로 나 깨운 거예요? 형우: ........ 은영: 나 열 안나요, 그냥 나쁜 꿈을 꿨어요. 형우: ............ 은영: 너무 아픈 꿈인데..... 깨워줘서 고마워요. 형우: 고맙습니다. 	은영: 형우 씨 이제 나한테 화 풀렸나 보다.. 그쵸? 	형우: 형우 씨 화 안 났습니다. 은영: (미소 짓다, 오랜만에 꾼 꿈이다 배 만져보는) 신 여사: 어디 나가니? 은영: 동네 한 바퀴만 돌고 오려구요. 신 여사: 옷은 단단히 입었고? 은영: 예. (눈치 보며) 조심해서 다녀올게요. 신 여사: (별스럽지 않게) 그래, 다녀 와. 은영: (환해져서) 고맙습니다. 형우: (똑같이) 고맙습니다. 수원댁: (주방에서 차 가지고 나오는) 형우 진짜 나가도 돼요? 	보다	나_		없음	은영: 나 열 안나요, 그냥 나쁜 꿈을 꿨어요. 형우: ............ 은영: 너무 아픈 꿈인데..... 깨워줘서 고마워요. 형우: 고맙습니다. 은영: 형우 씨 이제 나한테 화 풀렸나 보다.. 그쵸? 형우: 형우 씨 화 안 났습니다.	다음 [문장]의 내용에 대해 위 대화의 은영은 어느 정도로 확신한다고 생각하십니까?	형우 씨가 나한테 이제 화가 풀렸다	중립	7	6	5	5	5	7	6	6	7	3	6	6	6	6	5	6	5	6	5	5		5.24096 	6.05904 	5.65	0.933302004	entailment	n	과거	었/았	n	3	현재	없음	알수없음
303067	SBRW1900005457.1	구어	P2: 그니까 그 밸브 파손 관리에 P1: 예예. P2: 어~ 삼성 전자가 이 관리를 하게 돼 있는데 P1: 아~ P2: 그니까 관리에 상당히 좀 문제가 있었다라는 그런 의문이 가능한 거구요. P1: 네. P2: 당시 협력 업체 직원들은 이산화탄소 누출과는 전혀 관계 없는 그런 작업을 하고 있었기 때문에 P1: 네. P2: 그~ -보- 복도에서 대기하고 있다가 날벼락을 맞았다라는 그런 의혹까지 제기 되고 있습니다. P1: 세상에 	P2: 아~ 삼성 쪽 책임이 일단 굉장히 큰 것으로 파악이 되고 있구요. 	P1: 네. P2: 물론 조사를 더 해봐야 알겠습니다만 P1: 으흠 P2: 소방 설비의 근본적인 결함이 있었을 가능성도 있다. P1: 음 P2: 이런 분석까지 제기가 되고 있습니다. 그 문제는 P1: 네. P2: 이 삼성 전자 책임이 상당히 클 가능성 -이- 이 높은데 P1: 네. P2: 언론들이 이런 부분은 별로 주목을 하지 않고 있다는 겁니다. 	파악되다	ㄴ_것으로_		없음	당시 협력 업체 직원들은 이산화탄소 누출과는 전혀 관계 없는 그런 작업을 하고 있었기 때문에 그~ -보- 복도에서 대기하고 있다가 날벼락을 맞았다라는 그런 의혹까지 제기 되고 있습니다. 아~ 삼성 쪽 책임이 일단 굉장히 큰 것으로 파악이 되고 있구요. 물론 조사를 더 해봐야 알겠습니다만 소방 설비의 근본적인 결함이 있었을 가능성도 있다. 	다음 문장에 대해 위 보기의 필자(화자)는 어느 정도로 확신한다고 생각하십니까?	이산화탄소 누출에 삼성 쪽 책임이 일단 굉장히 크다	함의	3	7	5	6	7	6	6	6	5	6	5	6	4	5	6	4	6	6	6	6	6	5.14265 	6.00020 	5.571428571	0.978336781	entailment	n	현재	없음	n	3	현재	없음	1
106009	NLRW2000000002.56	신문	10명의 사상자를 낸 강릉 펜션 참사 사건 처리가 한 달여 만에 마무리됐다. 원주세브란스기독병원에서 입원 치료를 받던 학생 2명도 18일 퇴원함에 따라 이번 사고로 강릉과 원주에서 입원 치료를 받던 학생 7명 전원이 건강을 회복해 집으로 돌아갔다. 경찰 수사도 마무리됐다.	`강원지방경찰청 펜션 참사 수사본부'는 보일러 시공업체 대표 A(45)씨, 펜션 운영자 B(44)씨 등 2명을 구속기소 의견으로 검찰에 송치했다고 18일 밝혔다.	또 법원에서 구속 영장이 기각된 한국가스안전공사 가스안전검사원 C(49)씨 등 7명은 불구속기소 의견으로 송치했다. 구속 또는 불구속기소 의견으로 송치된 9명 중 불법 증축 등 건축법을 위반한 혐의 2명을 제외한 7명에게 경찰은 업무상 과실치사상 등 혐의를 적용했다. 지난달 17일 강릉시 아라레이크 펜션에 투숙한 고3 수험생 10명은 다음 날 오후 1시12분께 일산화탄소 중독으로 3명이 숨지고 7명이 치명상을 입은 채 발견됐다.	밝히다	다고_		없음	경찰 수사도 마무리됐다. `강원지방경찰청 펜션 참사 수사본부'는 보일러 시공업체 대표 A(45)씨, 펜션 운영자 B(44)씨 등 2명을 구속기소 의견으로 검찰에 송치했다고 18일 밝혔다. 또 법원에서 구속 영장이 기각된 한국가스안전공사 가스안전검사원 C(49)씨 등 7명은 불구속기소 의견으로 송치했다.	다음 문장에 대해 위 보기의 필자(화자)는 어느 정도로 확신한다고 생각하십니까?	보일러 시공업체 대표 A(45)씨, 펜션 운영자 B(44)씨 등 2명은 구속기소 의견으로 검찰에 송치되었다	함의	1	7	5	7	5	4	7	7	7	7	7	7	6	7	7	7	7	7	7	7		5.63154 	6.96846 	6.3	1.525226472	entailment	n	과거	었/았	n	3	과거	었/았	3
301015	SBRW1900003244.1	구어	P3: 조선 시대 강원도 관찰사였던 정철 선생 아시잖아요. P1: 네. P3: 이 고개를 넘어서면서 관동별곡을 지었고요. 그다음에 너무나 유명한 신사임당 강릉에서 계실 때 한양 이 어린 율곡의 손을 잡고 P1: 음~ P3: 한양 고개를 아~ 한양을 오면서 이 고개를 또 넘었던 곳이잖아요. P1: 예. P3: 그다음에 이제 영동에 수많은 선비들이 청운의 뜻을 품고 대관령 아흔아홉 고개를 넘어서 서울 한양에 도착했던 길이 P1: 크~ P3: 또 이 길이잖아요. P1: 네. 	P3: 그~ 이제 강릉 지방에는 또 이런 얘기도 있다고 그래요. 	P1: 음~ P3: 평생 대관령 한 번 넘지 않고 사는 것이 가장 행복하다. P1: {laughing} P3: {laughing} 이 소가 있으니까 P1: 그렇군요. P3: 얼마나 이 고개가 P1: 예. P3: 험하다는 걸 나타내죠. P1: 예. 자~ 오늘 서울 타임머신은 평창을 한번 둘러보고 있습니다. P3: 예. 	그러다	다고_		없음	또 이 길이잖아요. 그~ 이제 강릉 지방에는 또 이런 얘기도 있다고 그래요. 평생 대관령 한 번 넘지 않고 사는 것이 가장 행복하다. 	다음 문장에 대해 위 보기의 필자(화자)는 어느 정도로 확신한다고 생각하십니까?	강릉 지방에는 평생 대관령 한 번 넘지 않고 사는 것이 가장 행복하다는 얘기도 있다	함의	6	7	7	7	7	7	6	7	7	7	7	7	6	7	7	7	7	7	5	6		6.44964 	6.95036 	6.7	0.571240571	entailment	n	현재	없음	n	3	현재	없음	3
108059	NLRW2000000025.194	신문	용역진에 따르면 제주지역에서 출도되는 품목은 현재 감귤·채소 등 크게 2가지(약 30%)로 분류되고 있으나, 나머지 70% 가량인 '기타' 품목에 대한 정확한 통계 수집이 불가능한 상황이다. 이를 개선하기 위한 방안으로 관련 정책 수립과 조례 제정을 제안했다. 특히 제주지역 물류산업에 종사하고 있는 기업들의 적극적인 협조도 필요해 공감대 형성이 과제로 제시됐다.	또 물류에 지식이 없는 일반인들도 보고 이해하기 쉬운 물류관련 콘텐츠를 확장해 서비스를 제공해야 한다고 제언했다.	그러기 위해서는 다양한 그래프를 활용하고 시각화하는 디자인은 물론, 물동량 관련 정보 서비스 등의 필요성을 역설했다. 아울러 제주도는 이번 용역을 토대로 마지막 3차년 사업(2019년)을 본격 진행한다. 사업 내용은 물류통합정보시스템 시범사업을 본격 추진과 물류데이터 분석 기반 구축을 통한 실시간 분석기반 고도화 등이다.	제언하다	다고_		없음	특히 제주지역 물류산업에 종사하고 있는 기업들의 적극적인 협조도 필요해 공감대 형성이 과제로 제시됐다. 또 물류에 지식이 없는 일반인들도 보고 이해하기 쉬운 물류관련 콘텐츠를 확장해 서비스를 제공해야 한다고 제언했다. 그러기 위해서는 다양한 그래프를 활용하고 시각화하는 디자인은 물론, 물동량 관련 정보 서비스 등의 필요성을 역설했다.	다음 문장에 대해 위 보기의 필자(화자)는 어느 정도로 확신한다고 생각하십니까?	물류에 지식이 없는 일반인들도 보고 이해하기 쉬운 물류관련 콘텐츠를 확장해 서비스를 제공해야 한다	중립	5	6	6	4	4	4	4	4	6	6	6	5	4	4	7	4	5	6	6	7		4.67254 	5.62746 	5.15	1.089422831	entailment	n	현재	은/는	n	3	과거	었/았	3
